Feature,Importance
Mo,0.17948124580051386
Hardness (HVN),0.15734781081227903
Ni,0.05821017045718005
Num_Elements,0.05656206135973832
Al,0.05171758370140889
Plasticity (%) - Compressive,0.0489583861468357
Cr,0.04183106018291565
Co,0.03974231600391331
Ductility (%),0.039526963115176575
Mn,0.0366052739078078
Density (g/cm3),0.024966449565135003
Fe,0.021961514875964917
Cu,0.021715459546817528
C,0.020167729374877007
Cu_Content,0.01982496128807404
Mg,0.0171605612460574
Zn,0.016511704070049253
Fe_Content,0.016371151165500933
Has_BCC_Phase,0.012112923675313325
Cu_Fe_Ratio,0.011301566473229715
σ(MPa) at 1000 C,0.011147493903966302
BCC,0.010547282229946466
Num_Crystal_Structures,0.01033687573353018
Total_Composition,0.010252189433317441
Ti,0.009778827837922409
Has_FCC_Phase,0.007719517514414152
Num_Phases,0.007273150700773294
Processing_Temperature_C,0.004707281388144914
FCC,0.004443539844030392
Processing_Temperature_K,0.004396463269269558
Elastic Modulus (GPa),0.0036720333844559422
V,0.0036320671396384693
Hf,0.0031632062718374926
Zr,0.002669681047467521
IM,0.0023252534923896197
Shear Modulus (GPa),0.001895926053412976
σ(MPa) at 1200 C,0.001831414971508341
B,0.001536376267714692
Fracture Toughness,0.0015032155542077468
Si,0.001438529795524316
Gd,0.0014300255360129503
Ga,0.0005469604048021936
Y,0.0005017940392245703
Has_IM_Phase,0.000372234059303013
N,0.000285045732628942
Pb,0.000187978667308855
HCP,0.00018775407503453722
Sn,0.00011452015004494688
Li,1.7010534660696804e-05
Has_HCP_Phase,9.458198718924967e-06
Ag,0.0
C11 Elastic Constant (GPa),0.0
Ca,0.0
Ge,0.0
Pd,0.0
Nb,0.0
Nd,0.0
Ta,0.0
Sc,0.0
Re,0.0
W,0.0
