feature,importance
mixing_entropy,0.24522911427242086
Cr,0.16356337171649632
Al,0.1548353158489528
BCC,0.1234976339407948
Mo,0.06670989930564987
Fe,0.06544296710516918
plasticity,0.05656178529914039
Mn,0.047066391577845756
Ni,0.032520907563337566
hardness,0.03194292893035787
Ti_V_sum,0.02497705914748599
Ti,0.024158008940206456
avg_electronegativity,0.023446456233815038
ductility,0.02303781678279245
Cu,0.022258946737049666
ρ (g/cm<sup>3</sup>),0.013365819505421418
num_elements,0.012922343774344158
V,0.010582844912754264
avg_atomic_radius,0.007056710199493122
Al_Ni_interaction,0.007038320269410814
Al_Ni_ratio,0.006765259983254135
atomic_size_difference,0.0037133269903199652
Cu_Fe_interaction,0.0032210014015412345
E (GPa),0.002417483921600383
Zn,0.0016268537996476761
C,0.0016074339608524446
phase_BCC_only,0.0015440709723077762
Mg,0.0013393935586393346
FCC,0.0007988248697742062
Cu_Fe_ratio,0.0005949946664135398
Hf,0.00033727264750215146
Cr_Co_sum,0.00033014113642952924
IM,0.00024774513806928854
Cr_Co_ratio,0.00010393545227618261
Ca,0.0
Ag,0.0
B,0.0
elongation,0.0
ultimate_tensile_strength,0.0
yield_strength,0.0
HCP,0.0
Ti_V_interaction,0.0
Zr,0.0
Re,0.0
Sc,0.0
Li,0.0
N,0.0
Ge,0.0
Ga,0.0
principal_Cu,0.0
Fracture Toughness,0.0
G (GPa),0.0
C11 (GPa),0.0
σ(MPa) at 1000 C,0.0
W,0.0
Y,0.0
σ(MPa) at 1200 C,0.0
Ta,0.0
Sn,0.0
Nb,0.0
Nd,0.0
Pd,0.0
total_phases,0.0
phase_complex,0.0
phase_dual_FCC_BCC,0.0
principal_Fe,0.0
alloy_type_ternary,0.0
principal_element_fraction,0.0
alloy_type_binary,0.0
alloy_type_quaternary,0.0
alloy_type_complex,0.0
principal_Al,0.0
principal_Cr,0.0
principal_Ni,0.0
Si,-0.0006254487348270943
principal_Co,-0.0011246506529645982
Cu_Fe_sum,-0.0022958883598631296
Al_Ni_sum,-0.0024945532388376936
phase_FCC_only,-0.0028558251475189088
Co,-0.005384712889936893
Cr_Co_interaction,-0.005735432305533328
